Country,ISO3,Region,Population_Millions_2022,LifeExp_2000,LifeExp_2010,LifeExp_2020,LifeExp_2022,HealthExp_PerCapita_USD_2022,U5Mortality_2000,U5Mortality_2010,U5Mortality_2022,Physicians_per_1000
United States,USA,Americas,333.3,76.6,78.5,77.0,77.5,12900,8.5,7.8,6.0,2.6
United Kingdom,GBR,Europe,67.5,77.9,80.5,80.9,80.7,5400,6.4,5.0,3.9,3.2
India,IND,Asia,1417,62.6,66.9,67.2,67.7,73,91.2,59.2,29.6,0.7
China,CHN,Asia,1412,71.4,75.0,77.9,78.2,730,36.9,16.4,6.9,2.4
Brazil,BRA,Americas,215.3,70.1,73.2,72.8,72.8,800,31.2,17.4,13.4,2.3
Nigeria,NGA,Africa,218.5,46.0,50.6,53.0,53.9,80,183.0,133.4,110.8,0.4
South Africa,ZAF,Africa,60.4,55.0,57.1,61.5,62.3,550,56.6,44.4,32.7,0.9
Japan,JPN,Asia,124.6,81.2,82.9,84.6,84.1,4300,5.2,3.3,2.0,2.6
Germany,DEU,Europe,83.8,78.2,80.2,81.1,80.9,7400,5.1,4.1,3.6,4.5
Russia,RUS,Europe,144.7,65.5,68.9,71.3,72.6,900,20.3,10.1,4.8,3.7
Mexico,MEX,Americas,127.5,74.2,75.1,70.5,70.2,620,26.6,16.9,12.7,2.4
Egypt,EGY,Africa,110.9,68.8,70.5,70.0,70.2,180,44.7,23.4,18.9,0.8
Pakistan,PAK,Asia,235.8,62.9,65.0,65.7,66.1,40,100.4,81.5,60.3,1.1
Bangladesh,BGD,Asia,171.2,65.8,70.0,72.0,72.4,50,87.7,44.2,26.7,0.6
Kenya,KEN,Africa,54.0,51.3,60.8,63.2,63.9,90,97.0,52.4,41.0,0.2
Indonesia,IDN,Asia,275.5,66.2,68.6,67.6,68.3,130,52.3,32.6,21.4,0.7
Ethiopia,ETH,Africa,123.4,51.8,62.0,65.0,65.7,30,146.4,87.5,46.4,0.1
Vietnam,VNM,Asia,98.2,73.4,75.2,73.7,73.6,180,29.4,23.0,19.4,0.8
France,FRA,Europe,64.6,79.2,81.7,82.3,82.3,5700,5.0,4.0,3.9,3.4
Australia,AUS,Oceania,26.0,79.3,81.7,83.2,83.3,5900,6.0,4.7,3.5,3.8
